
(90379359, 527509.2187047654, 4556047.36820414, 41.1552865, -8.6721342)
(90379613, 527459.9657422074, 4556081.008946291, 41.1555912, -8.6727197)
(90379614, 527423.5976763209, 4556057.414999209, 41.1553799, -8.6731542)
(90379615, 527419.3820432525, 4556047.196960005, 41.155288, -8.6732049)
(90379616, 527428.0718094937, 4556005.488208343, 41.154912, -8.6731032)
(90379617, 527439.403218506, 4555995.450666194, 41.1548212, -8.6729686)
(90379618, 527489.8459213233, 4555995.84014425, 41.154823, -8.6723674)
(90379619, 527510.9759605619, 4556035.263160971, 41.1551774, -8.6721138)
(90379759, 527212.297362813, 4555839.514213689, 41.1534242, -8.6756822)
(90380150, 527075.874862637, 4556008.5482433345, 41.1549514, -8.6773006)
(90380348, 527838.776047035, 4555223.081226554, 41.1478502, -8.6682439)
(90380349, 527575.4095015561, 4555352.102349034, 41.1490214, -8.6713766)
(90380350, 527447.705714674, 4555357.816082642, 41.1490772, -8.6728982)
(90380816, 527281.7780249177, 4555386.469063603, 41.1493409, -8.6748743)
(90380817, 527177.3508861207, 4555435.481177171, 41.1497859, -8.6761166)
(90381067, 527442.4564241009, 4555314.389821636, 41.1486862, -8.6729627)
(90381086, 527429.0437119106, 4555201.271534025, 41.1476677, -8.6731276)
(90381095, 527332.8432861576, 4555255.208053942, 41.1481568, -8.6742716)
(111442215, 527101.8906802002, 4555541.252697755, 41.1507412, -8.6770112)
(111442216, 527041.9226637877, 4555601.610918427, 41.1512869, -8.6777232)
(111442217, 527024.0228011333, 4555670.15144491, 41.1519049, -8.6779335)
(111442620, 527166.6856626639, 4555458.04399567, 41.1499895, -8.6762427)
(111443008, 527274.98509036, 4555270.755852893, 41.1482988, -8.6749604)
(111443012, 527254.9328829651, 4555294.626777265, 41.1485145, -8.6751983)
(111443919, 527400.1802273169, 4555383.892551903, 41.1493137, -8.6734634)
(111443920, 527372.6140498538, 4555393.070010136, 41.1493973, -8.6737915)
(111444802, 527405.7738109796, 4555205.82460863, 41.1477095, -8.6734047)
(111445022, 527444.3276686319, 4555276.418902701, 41.1483441, -8.6729421)
(111446370, 527899.3659916112, 4555184.801497299, 41.1475033, -8.6675236)
(111446371, 527872.0060272733, 4555187.9497965295, 41.1475326, -8.6678495)
(111446372, 527789.9198218171, 4555190.268172247, 41.1475563, -8.6688276)
(111446373, 527444.4743952454, 4555199.375627115, 41.1476501, -8.6729438)
(111447974, 528199.3652461248, 4555240.705371043, 41.1479965, -8.663946)
(111447975, 528169.2291112457, 4555247.860559185, 41.148062, -8.6643048)
(111447976, 528144.0023632891, 4555250.572006711, 41.1480873, -8.6646053)
(111447977, 528117.5404514103, 4555249.348883376, 41.1480772, -8.6649207)
(111447978, 528089.6227413508, 4555242.6361553455, 41.1480177, -8.6652537)
(111447980, 527967.1670443421, 4555174.469939458, 41.1474079, -8.6667161)
(111447981, 527953.5247994495, 4555171.653481766, 41.147383, -8.6668788)
(111447984, 527946.525726118, 4555171.793230185, 41.1473845, -8.6669622)
(122522947, 526920.6030453333, 4555877.7213921705, 41.1537781, -8.6791569)
(122523494, 527050.3213785978, 4555712.844915957, 41.1522886, -8.6776182)
(122523605, 526874.536321179, 4555960.301762686, 41.1545235, -8.6797023)
(122525234, 526988.5732814735, 4555789.926823343, 41.152985, -8.6783507)
(122525235, 526953.7128777858, 4555841.308707212, 41.153449, -8.6787639)
(122525425, 526970.1259166003, 4555779.745302635, 41.1528939, -8.678571)
(122528341, 527223.6304894745, 4555394.400610866, 41.1494143, -8.6755669)
(122528343, 527206.1236510762, 4555422.155548375, 41.1496649, -8.6757743)
(122528346, 527197.9297658766, 4555445.782159267, 41.149878, -8.6758709)
(122528348, 527187.5240887635, 4555491.0372103, 41.150286, -8.6759929)
(122528349, 527164.8933401854, 4555531.606420458, 41.1506522, -8.6762608)
(122528351, 527139.3927010422, 4555579.059020192, 41.1510805, -8.6765626)
(122530856, 527045.9160513125, 4555592.744567143, 41.1512069, -8.677676)
(122535293, 527353.4939416127, 4555221.759061317, 41.1478548, -8.674027)
(122535567, 527414.0957346952, 4555304.880456386, 41.1486015, -8.6733011)
(122535570, 527345.2842708048, 4555267.355146681, 41.1482658, -8.6741228)
(122535992, 527419.2194359439, 4555292.377284393, 41.1484887, -8.6732406)
(122535994, 527351.0853702303, 4555257.685324496, 41.1481785, -8.6740541)
(122586155, 527488.3077405974, 4556074.5990050025, 41.1555325, -8.6723822)
(128664377, 527434.9583241546, 4556070.845983247, 41.1555005, -8.6730182)
(128664380, 527453.3704862461, 4555989.563880209, 41.1547677, -8.6728024)
(128664381, 527507.5699248634, 4556017.299320918, 41.1550157, -8.6721552)
(128668309, 528291.0209882841, 4555512.66726199, 41.1504431, -8.6628412)
(128668310, 528221.0894366084, 4555521.289047626, 41.1505232, -8.6636742)
(128668311, 528138.1326054132, 4555537.077253964, 41.1506683, -8.6646621)
(128668312, 528028.7601706915, 4555570.571702358, 41.1509738, -8.665964)
(128668313, 528002.2154518043, 4555580.305778966, 41.1510624, -8.6662799)
(128668316, 527740.3025936576, 4555731.262937189, 41.1524312, -8.6693944)
(285908605, 528117.9948757874, 4555255.556328786, 41.1481331, -8.664915)
(285910994, 528148.2659084424, 4555256.927344508, 41.1481444, -8.6645542)
(285951310, 528025.3236935216, 4555217.355537084, 41.1477922, -8.6660211)
(285951312, 528101.1810053717, 4555252.705185701, 41.148108, -8.6651155)
(285951774, 527906.5842622856, 4555199.771575357, 41.1476379, -8.6674369)
(285951775, 527936.2879009, 4555180.613014736, 41.1474643, -8.6670838)
